1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
276.wav|er sogt prk, dot weib leient in zinh urinh un sei derzehlen di chwaliess got'ss wunder, un iede chwalie chapt a wort un macht plith.|er sogt prk, dot weib leient in zinh urinh un sei derzehlen di chwaliess got'ss wunder, un iede chwalie chapt a wort un macht plith.
277.wav|winter is der teich gefreuren, zugedekt in sein scheid.|winter is der teich gefreuren, zugedekt in sein scheid.
278.wav|dss heisel is ferschneit, ferschotsch fun kf bin zu di|dss heisel is ferschneit, ferschotsch fun kf bin zu di
279.wav|fiss.|fiss.
280.wav|fun dem blumen-ferkoweten fenssterel start areuss dem iberfihrer'ss an eug un betrcht dem schussf, dem teich, wi er is zugedekt, gefreuren.|fun dem blumen-ferkoweten fenssterel start areuss dem iberfihrer'ss an eug un betrcht dem schussf, dem teich, wi er is zugedekt, gefreuren.
281.wav|der iberfihrer kukt un krechzt.|der iberfihrer kukt un krechzt.
282.wav|zwei seinen ferfreuren: der teich hinter'n eis un der iberfihred in sein heisel.|zwei seinen ferfreuren: der teich hinter'n eis un der iberfihred in sein heisel.
283.wav|un wen doss wasser reisst sich fun hinter sein deke areuss un lebt euf, densstmol kricht fun sein winterdigen kbr euch der iberfihrer areuss, hot hnh fun sein schussf, woss is zu tchiss-hmssim eufgestanen, un er schmidt euss sein schifel mit ssmole.|un wen doss wasser reisst sich fun hinter sein deke areuss un lebt euf, densstmol kricht fun sein winterdigen kbr euch der iberfihrer areuss, hot hnh fun sein schussf, woss is zu tchiss-hmssim eufgestanen, un er schmidt euss sein schifel mit ssmole.
284.wav|bei nacht.|bei nacht.
285.wav|di gegend is arum stil.|di gegend is arum stil.
286.wav|der himel kukt mit liebschaft euf der welt, wi a tate euf sein heus-gesind.|der himel kukt mit liebschaft euf der welt, wi a tate euf sein heus-gesind.
287.wav|di felder seinen mit schnei bedekt, un di bess seinen wi teute riesen in seiere tchrichim.|di felder seinen mit schnei bedekt, un di bess seinen wi teute riesen in seiere tchrichim.
288.wav|densstmol schimert fun iberfihrer'ss ferkoweten fenssteril a strahl lichtigkeit areuss un dringt ergez-wu in der welt arein.|densstmol schimert fun iberfihrer'ss ferkoweten fenssteril a strahl lichtigkeit areuss un dringt ergez-wu in der welt arein.
289.wav|weit ergez blondsschet a fussgeher, er derseht dem strahl, welcher fihrt ihm gleich zum fensster fun heisel di nacht iberzunechtigen.|weit ergez blondsschet a fussgeher, er derseht dem strahl, welcher fihrt ihm gleich zum fensster fun heisel di nacht iberzunechtigen.
290.wav|ess is noch winter.|ess is noch winter.
291.wav|mit schnei arum is alz noch bedekt, hor hoch kukt scheun got fun der heuch mit klohre eugen rob.|mit schnei arum is alz noch bedekt, hor hoch kukt scheun got fun der heuch mit klohre eugen rob.
292.wav|di sun is iber di greue winterdige wolken ferspreit, un hde strahlen lecheren di winterdige deke.|di sun is iber di greue winterdige wolken ferspreit, un hde strahlen lecheren di winterdige deke.
293.wav|euf di arumine berg zugeht der schnei klor, rein ; kein menschen'ss fuss hot noch nischt seier reine weisskeit berihrt, un ganze stromen zugangener schnei losen sich gletendik fun di berg rob un flen in dem halb-gefreurenem teich arein.|euf di arumine berg zugeht der schnei klor, rein ; kein menschen'ss fuss hot noch nischt seier reine weisskeit berihrt, un ganze stromen zugangener schnei losen sich gletendik fun di berg rob un flen in dem halb-gefreurenem teich arein.
294.wav|doss eis iber'n wasser is dein un durchsichtig, un doss wasser kukt durch ihm, wi durch a klohe scheub areuss.|doss eis iber'n wasser is dein un durchsichtig, un doss wasser kukt durch ihm, wi durch a klohe scheub areuss.
295.wav|theilmol warft sich a fisch areuf, hakt euf di scheub mit'n weidel, warft a blik euf got'ss freie welt un far greuss gdulh, as di mame, doss wasser, wet bald fun sich di scheub arobwarfen, lost er sich tief-norkendik in wasser arein di bschurh di chbrim onzusogen.|theilmol warft sich a fisch areuf, hakt euf di scheub mit'n weidel, warft a blik euf got'ss freie welt un far greuss gdulh, as di mame, doss wasser, wet bald fun sich di scheub arobwarfen, lost er sich tief-norkendik in wasser arein di bschurh di chbrim onzusogen.
296.wav|un alz arum is behoften einss mit'n zweiten, alz hot der schnei zusamengegossen.|un alz arum is behoften einss mit'n zweiten, alz hot der schnei zusamengegossen.
297.wav|klohr,|klohr,
298.wav|dein, hel, nar eis schwrzer fsch stert di weisse schei-usslt doss heisel, woss ess schehm sich einss alein in mol.|dein, hel, nar eis schwrzer fsch stert di weisse schei-usslt doss heisel, woss ess schehm sich einss alein in mol.
299.wav|di cheim'te geht mit'n er zu sch brunem, woss is hiner dem heisel, mit a mol derehsch si mn derweitenss r' ichskl'ss fuhr.|di cheim'te geht mit'n er zu sch brunem, woss is hiner dem heisel, mit a mol derehsch si mn derweitenss r' ichskl'ss fuhr.
300.wav|si hot bald di fr ont, un si hot zum man durch'n fensster areingeklam.|si hot bald di fr ont, un si hot zum man durch'n fensster areingeklam.
301.wav|cheim, der ssuchr kd tramsess fort.|cheim, der ssuchr kd tramsess fort.
302.wav|gemsst wi a chchm, in por scheh arum wolt fun'm holz kein lek nit gebliben hot cheim obgeentfert areumehg if r schwel fun er thir.|gemsst wi a chchm, in por scheh arum wolt fun'm holz kein lek nit gebliben hot cheim obgeentfert areumehg if r schwel fun er thir.
303.wav|un wohr is ess.|un wohr is ess.
304.wav|zwischen di weisse felder schwaet se mer weg un euf'n weg leufsch zwei greue ferd, woss kumen uo a ml nerenmer.|zwischen di weisse felder schwaet se mer weg un euf'n weg leufsch zwei greue ferd, woss kumen uo a ml nerenmer.
305.wav|bald is noe mit a knal fun der beitsch schm heisel schmefohren.|bald is noe mit a knal fun der beitsch schm heisel schmefohren.
306.wav|di ferd seinen gewen zuhizt, ferssopet.|di ferd seinen gewen zuhizt, ferssopet.
307.wav|r' ichskl ongetun in sein diken schopen-pelz, is fun der fur sch frerendik:|r' ichskl ongetun in sein diken schopen-pelz, is fun der fur sch frerendik:
308.wav|nu, woss machen dort meine helzlech?|nu, woss machen dort meine helzlech?
309.wav|mr hoben getun, woss mr hoben elent.|mr hoben getun, woss mr hoben elent.
310.wav|men hot noch a schl mit strikawess gebugen, breter zusamenkschlapt un mit grobe schrk zsm ben ferfesstigt, ober wer weisst?|men hot noch a schl mit strikawess gebugen, breter zusamenkschlapt un mit grobe schrk zsm ben ferfesstigt, ober wer weisst?
311.wav|spiel dich mit schr hot chsch eussgelost machendik mit di hand, wi er wolt ermt geuolt geben ferschehn di gburuss fun ihr, fun sein weichssel.|spiel dich mit schr hot chsch eussgelost machendik mit di hand, wi er wolt ermt geuolt geben ferschehn di gburuss fun ihr, fun sein weichssel.
312.wav|r cheim is zugegangen zu r' ichskln un hot hm nstekt schlum elsch, un r' ichskl is mt an arobnelosenem sch in schtbel arein.|r cheim is zugegangen zu r' ichskln un hot hm nstekt schlum elsch, un r' ichskl is mt an arobnelosenem sch in schtbel arein.
313.wav|in dem kleine, ruheen ibl seinen gestanen zwei heuche beten, ful ongelent bis in halben balken mit deken, in uelche ess hot sich eufgehalten di federen fun di ale genn un sch—ess, woss di iidene hot zeit noch ihr chssunh ieden freischar geschossen euf eusssteier fr schwessterkinder euf mg schn em kleinem scheugen-scheinkel woss s gestanen in a|in dem kleine, ruheen ibl seinen gestanen zwei heuche beten, ful ongelent bis in halben balken mit deken, in uelche ess hot sich eufgehalten di federen fun di ale genn un sch—ess, woss di iidene hot zeit noch ihr chssunh ieden freischar geschossen euf eusssteier fr schwessterkinder euf mg schn em kleinem scheugen-scheinkel woss s gestanen in a
314.wav|winkel stub hoben reute epel areussgekukt, welche hoben ferspreit an epel-geschmak in dem kleinem dorfischen stibel.|winkel stub hoben reute epel areussgekukt, welche hoben ferspreit an epel-geschmak in dem kleinem dorfischen stibel.
315.wav|d' ichskl hot sich beim tisch awekgesezt.|d' ichskl hot sich beim tisch awekgesezt.
316.wav|far egmss- nfsch hot er dem schopen-pelz nischt eussgetun un hot zum fenssteril areussgekukt.|far egmss- nfsch hot er dem schopen-pelz nischt eussgetun un hot zum fenssteril areussgekukt.
317.wav|arum is noch stil, nor fun ganz weit hert sich a min gissen.|arum is noch stil, nor fun ganz weit hert sich a min gissen.
318.wav|doss sogt on schlechte bschuruss, un fun r' ichskl'ss brusst hot sich euss geweunheit a rbunu schl eulm areussgerissen.|doss sogt on schlechte bschuruss, un fun r' ichskl'ss brusst hot sich euss geweunheit a rbunu schl eulm areussgerissen.
319.wav|note is arein in stub un hot epess dort bei der thir gesucht.|note is arein in stub un hot epess dort bei der thir gesucht.
320.wav|di cheim'te hot sich mit ihm gekriegt, wegen holz haken.|di cheim'te hot sich mit ihm gekriegt, wegen holz haken.
321.wav|bald hot a feieril geknakt in kich a iaichel far'n ssuchr obzukochen.|bald hot a feieril geknakt in kich a iaichel far'n ssuchr obzukochen.
322.wav|di cheim'te bei der kich seht, as der ssuchr sizt ferklehrt beim tisch, heubt si ihm on zu treissten:|di cheim'te bei der kich seht, as der ssuchr sizt ferklehrt beim tisch, heubt si ihm on zu treissten:
323.wav|sorgt nischt, ssuchr, wegen di tratwess, got wet helfen un wet eier sschurh fun wasser ratewen.|sorgt nischt, ssuchr, wegen di tratwess, got wet helfen un wet eier sschurh fun wasser ratewen.
324.wav|r' ichskl hot sich umgekukt un dersehn di cheim'te.|r' ichskl hot sich umgekukt un dersehn di cheim'te.
325.wav|si, a iudene, treisst ihm, hot er sich fr sich alein ferschehmt, un is areuss in heuf.|si, a iudene, treisst ihm, hot er sich fr sich alein ferschehmt, un is areuss in heuf.
326.wav|fihrt mich, r' cheim, zum gehilz, hot er zu cheim'en gesogt, trefendik ienem zwei emer wasser trogen note, kum mit.|fihrt mich, r' cheim, zum gehilz, hot er zu cheim'en gesogt, trefendik ienem zwei emer wasser trogen note, kum mit.
327.wav|cheim hot di emer in stal getrogen.|cheim hot di emer in stal getrogen.
328.wav|ale drei seinen hinter'n heisel zum gehilz arunter.|ale drei seinen hinter'n heisel zum gehilz arunter.
329.wav|as men hot nischt gewusst, hot men nischt gekent bemerken, as dort liegt holz.|as men hot nischt gewusst, hot men nischt gekent bemerken, as dort liegt holz.
330.wav|halblich is ess in eis eingefreuren, un fun euben is ess mit woss zugedekt.|halblich is ess in eis eingefreuren, un fun euben is ess mit woss zugedekt.
331.wav|nor lange breter sehen sich wu nit wu areuss, un lange dike strik seinen ongebunden on dike beuter, woss stehen beim breg.|nor lange breter sehen sich wu nit wu areuss, un lange dike strik seinen ongebunden on dike beuter, woss stehen beim breg.
332.wav|a schlecht, a schlecht gescheft, brumt r' ichskl far sich un messt mit dem steken in der luft leut dem eug, wifiel eil weit ken doss gehilz ligen fun breg.|a schlecht, a schlecht gescheft, brumt r' ichskl far sich un messt mit dem steken in der luft leut dem eug, wifiel eil weit ken doss gehilz ligen fun breg.
333.wav|men mus kein ianoschez gehn peueren schafen, woss mehr beuern, un aseu wi doss eis wet nor onheuben sich rihren, mun|men mus kein ianoschez gehn peueren schafen, woss mehr beuern, un aseu wi doss eis wet nor onheuben sich rihren, mun
334.wav|men doss gehilz fun wasser areussnehmen.|men doss gehilz fun wasser areussnehmen.
335.wav|wifiel ess sol kossten ferfalen.|wifiel ess sol kossten ferfalen.
336.wav|woss den?|woss den?
337.wav|as doss eis wet onheuben rihren, wet ess doss gehilz wi a federil mitnehmen stimt r' cheim mit, mit a min behaltener guh euf sein wasser.|as doss eis wet onheuben rihren, wet ess doss gehilz wi a federil mitnehmen stimt r' cheim mit, mit a min behaltener guh euf sein wasser.
338.wav|ess liegt nit weit fun breg.|ess liegt nit weit fun breg.
339.wav|in ganzen an eil zwei, men mus sich zueilen.|in ganzen an eil zwei, men mus sich zueilen.
340.wav|fun euben kumt doss eis on in|fun euben kumt doss eis on in
341.wav|a lade minut, sogt d' cheim scheun gehendik.|a lade minut, sogt d' cheim scheun gehendik.
342.wav|r' ichskl hot ihm a -rubl'digen gegeben, as er sol fun dorf okewit mitbreingen un alein is er zurik in r' cheim'ss stibel arein.|r' ichskl hot ihm a -rubl'digen gegeben, as er sol fun dorf okewit mitbreingen un alein is er zurik in r' cheim'ss stibel arein.
343.wav|in stibel bei r' cheim'en hot sich getrogen in der luft a rich fun kartofless mit bobess (di cheim'te weisst scheun fun lang, as fun ihre bob leken di ssuchrim di finger) ; di cheim'te is in ganzen in der kich gewen fertun.|in stibel bei r' cheim'en hot sich getrogen in der luft a rich fun kartofless mit bobess (di cheim'te weisst scheun fun lang, as fun ihre bob leken di ssuchrim di finger) ; di cheim'te is in ganzen in der kich gewen fertun.
344.wav|note is gesessen in a winkel bei deeu kich, di stiwel eussgetun, un hot sich di onizess getrikent, schmuessendik derweil mit di cheim'te wegen a chlh.|note is gesessen in a winkel bei deeu kich, di stiwel eussgetun, un hot sich di onizess getrikent, schmuessendik derweil mit di cheim'te wegen a chlh.
345.wav|di cheim'te hot ihm.|di cheim'te hot ihm.
346.wav|a schduch ongeschlogen mit ihr'ss a schwesster kind fun ianoschez, sehr a schehn, gesund meidel mit a por hundert gilden.|a schduch ongeschlogen mit ihr'ss a schwesster kind fun ianoschez, sehr a schehn, gesund meidel mit a por hundert gilden.
347.wav|un wet der ssuchr iber schbss iberbleiben, wet si ihr schwesster-kind aher breingen.|un wet der ssuchr iber schbss iberbleiben, wet si ihr schwesster-kind aher breingen.
348.wav|note is gesessen un hot dem schmuess ernsst eussgehorcht un mit'n kop zugeschokelt ; gewolt hot er derweil bei der alter a gut mitog eussnaren.|note is gesessen un hot dem schmuess ernsst eussgehorcht un mit'n kop zugeschokelt ; gewolt hot er derweil bei der alter a gut mitog eussnaren.
349.wav|er hot sein essk ferstanen.|er hot sein essk ferstanen.
350.wav|di alte is bald zu ihm mspchh'dig geworen.|di alte is bald zu ihm mspchh'dig geworen.
351.wav|r' ichskl is reingekumen, is der schmuess ibergehakt geworen.|r' ichskl is reingekumen, is der schmuess ibergehakt geworen.
352.wav|r' ichskl hot scheun gefunen dem tisch gedekt mit epess a min modne zwel, woss seht euss zu sein a kolde euf ri cheten, mit a blechenem eussgeribenem lefel, mit a kling fun a messer un a gopel, a heimisch-gebaken rasewane breut, un a salz-messtel.|r' ichskl hot scheun gefunen dem tisch gedekt mit epess a min modne zwel, woss seht euss zu sein a kolde euf ri cheten, mit a blechenem eussgeribenem lefel, mit a kling fun a messer un a gopel, a heimisch-gebaken rasewane breut, un a salz-messtel.
353.wav|d' ichskl hot sich gewschen, a hmuzi gemacht, un di cheim'te hot ihm a teler derlangt, fun welchen di|d' ichskl hot sich gewschen, a hmuzi gemacht, un di cheim'te hot ihm a teler derlangt, fun welchen di
354.wav|pare hot di stub eingenumen.|pare hot di stub eingenumen.
355.wav|r' ichskl hot knap fersucht, awekgerukt fun sich dem teler, di schirim is far noten gewen.|r' ichskl hot knap fersucht, awekgerukt fun sich dem teler, di schirim is far noten gewen.
356.wav|r' ichskl hot flink obgebenscht un is zum gehilie areuss.|r' ichskl hot flink obgebenscht un is zum gehilie areuss.
357.wav|er hot sich beim breg anidergestelt un gewart.|er hot sich beim breg anidergestelt un gewart.
358.wav|un iber der weit un iber der breit fun der weisser welt hot sich sein eug ferworfen.|un iber der weit un iber der breit fun der weisser welt hot sich sein eug ferworfen.
359.wav|doss wasser leuft fun d berg un ess gisst sich iber'n eis.|doss wasser leuft fun d berg un ess gisst sich iber'n eis.
360.wav|fun derweitenss hert sich a knak.|fun derweitenss hert sich a knak.
361.wav|a stik eis, a halber teich kumt on un reisst sich seuiter, doss wasser reuscht stromendik in a rine fun zwisch zwei stiker eis, un mit a resch stromt ess fun der risse areuss un ess lechert doss eis, euf welchen ess rint areuf.|a stik eis, a halber teich kumt on un reisst sich seuiter, doss wasser reuscht stromendik in a rine fun zwisch zwei stiker eis, un mit a resch stromt ess fun der risse areuss un ess lechert doss eis, euf welchen ess rint areuf.
362.wav|p chwalie wasser kumt on zuleufen un git sich a goss iber'n dis.|p chwalie wasser kumt on zuleufen un git sich a goss iber'n dis.
363.wav|bld noch der chwalie hert sich a knak ; doss eis spalt sl un a ieiesig stik fun ihm stelt sich kapeur un wert di rge zuschmetert eu stiklech.|bld noch der chwalie hert sich a knak ; doss eis spalt sl un a ieiesig stik fun ihm stelt sich kapeur un wert di rge zuschmetert eu stiklech.
364.wav|doss wasser lost sich in a starken strom areuss fun sein gefreurener deke, mitschlependik mit sich di hrugim, di zubrochene stiker eis, un machendik mit sei sch spielechil, a dreidel in kon, zwischen zwei chwaliess, woss eine.|doss wasser lost sich in a starken strom areuss fun sein gefreurener deke, mitschlependik mit sich di hrugim, di zubrochene stiker eis, un machendik mit sei sch spielechil, a dreidel in kon, zwischen zwei chwaliess, woss eine.
365.wav|wil di zweite chapen, un patschen sich in pnim arein.|wil di zweite chapen, un patschen sich in pnim arein.
366.wav|ot schwimt scheun doss wasser un ess brecht doss sch sch breg, wu doss holz liegt.|ot schwimt scheun doss wasser un ess brecht doss sch sch breg, wu doss holz liegt.
367.wav|r' ichskl hert scheun dem kna doss stik eis is geplazt, nor ess rihrt sich noch nischt.|r' ichskl hert scheun dem kna doss stik eis is geplazt, nor ess rihrt sich noch nischt.
368.wav|eribolwan bolwan is zu greuss un zu diesig, as doss wasser sol ihm kenen bewegen.|eribolwan bolwan is zu greuss un zu diesig, as doss wasser sol ihm kenen bewegen.
369.wav|doss water halt dermit mlchmh, ess schikt noch a chwalie un noch a chwalie.|doss water halt dermit mlchmh, ess schikt noch a chwalie un noch a chwalie.
370.wav|rer bolwan rihrt sich nischt.|rer bolwan rihrt sich nischt.
371.wav|klenere stiklech eis weren in ihm zuhakt, zuschmetert un gehen unter, nor er steht ober noch a minut un unter ihm heubt on burtschen, un doss eis wert zutheilt euf kleine stiklech.|klenere stiklech eis weren in ihm zuhakt, zuschmetert un gehen unter, nor er steht ober noch a minut un unter ihm heubt on burtschen, un doss eis wert zutheilt euf kleine stiklech.
372.wav|ot weist sich doss gehilz.|ot weist sich doss gehilz.
373.wav|ein tratwe is ong bunden on der zweiter, un eine heubt sich, reisst sich fun der zieuiter.|ein tratwe is ong bunden on der zweiter, un eine heubt sich, reisst sich fun der zieuiter.
374.wav|r' ichskl kukt euf sein fermegen.|r' ichskl kukt euf sein fermegen.
375.wav|ess steht in sschnh.|ess steht in sschnh.
376.wav|di stiker eis pruben sich fun ort rihren.|di stiker eis pruben sich fun ort rihren.
377.wav|di strie sskripen bei di beumer.|di strie sskripen bei di beumer.
378.wav|sei reissen sich.|sei reissen sich.
379.wav|di lezte minut.|di lezte minut.
380.wav|astedtel.|astedtel.
381.wav|kl tret nehenter zum wasser zu, er strekt di hand euss.|kl tret nehenter zum wasser zu, er strekt di hand euss.
382.wav|er wil onrihren tt di hend, un kt sich um, eub men se gscht d peuerim keiner kumt ni.|er wil onrihren tt di hend, un kt sich um, eub men se gscht d peuerim keiner kumt ni.
383.wav|doss wasser leuft, eilt, doss eis plazt sein fermegen reuk, eu, rbunu schl eulm, sik fermegen ratewen.|doss wasser leuft, eilt, doss eis plazt sein fermegen reuk, eu, rbunu schl eulm, sik fermegen ratewen.
384.wav|kumt on zuleufen r' cheim mit peuerm a sanze mchnh.|kumt on zuleufen r' cheim mit peuerm a sanze mchnh.
385.wav|r ichskl derseht sei fun derweiten, er winkt mit di hend.|r ichskl derseht sei fun derweiten, er winkt mit di hend.
386.wav|di peuerim kumen nehenter, theil halten hek, lomen, keiten un strik.|di peuerim kumen nehenter, theil halten hek, lomen, keiten un strik.
387.wav|r' ichskl krigt mehr muth, er leuft foreuss er kukt nischt euf'n eis.|r' ichskl krigt mehr muth, er leuft foreuss er kukt nischt euf'n eis.
388.wav|doss wasser is hinter seine fiss, l' ichskl kukt nischt, mit got'ss hilf, di peuerim noch ihm, men fregt nischt euf kein lrn woss?|doss wasser is hinter seine fiss, l' ichskl kukt nischt, mit got'ss hilf, di peuerim noch ihm, men fregt nischt euf kein lrn woss?
389.wav|wen?|wen?
390.wav|men darf doss holz ratewen.|men darf doss holz ratewen.
391.wav|men chapt hek areuf euf di tratwess, men schneidt 'durch di strikawess-, men schneidt ob ein tratwe fun der zweiter, doss eis brecht sich, men hakt, men ziht bei di strik wer kukt euf epess?|men chapt hek areuf euf di tratwess, men schneidt 'durch di strikawess-, men schneidt ob ein tratwe fun der zweiter, doss eis brecht sich, men hakt, men ziht bei di strik wer kukt euf epess?
392.wav|men springt ariber fun ein kloz euf dem zweiten fun breg ziht men, wifiel men ken ratewet men areuss euf'n breg.|men springt ariber fun ein kloz euf dem zweiten fun breg ziht men, wifiel men ken ratewet men areuss euf'n breg.
393.wav|di einzelne tratwess bindt men mit strik un men ferfesstigt sei starker beim breg.|di einzelne tratwess bindt men mit strik un men ferfesstigt sei starker beim breg.
394.wav|un doss wasser hot sich gegossen euf'n eis un mlchmh mehalten mit ihm, aseu, as doss eug hot gezweifelt, woss is mehr fun euben euf'n teich: doss eis oder doss wasser.|un doss wasser hot sich gegossen euf'n eis un mlchmh mehalten mit ihm, aseu, as doss eug hot gezweifelt, woss is mehr fun euben euf'n teich: doss eis oder doss wasser.
395.wav|mit a strom hot sich gelost un geworfen ein stik eis euf'n zweiten, un ein bolwan is mit'n kop arein in zweiten un iensgm zuschetert euf stiklech ; pluzim hot sich eufgeheuben a stik eis in er heuch un hot obgehalten seine chbrim, woss losen sich noch ihm ; un di stiker eis seinen areuf einss euf'n zweiten, einss euf'n zweiten, un a barg eis is in miten wasser stehn gebliben, doss wasser hot mit drch rz gemust far sei ontreten.|mit a strom hot sich gelost un geworfen ein stik eis euf'n zweiten, un ein bolwan is mit'n kop arein in zweiten un iensgm zuschetert euf stiklech ; pluzim hot sich eufgeheuben a stik eis in er heuch un hot obgehalten seine chbrim, woss losen sich noch ihm ; un di stiker eis seinen areuf einss euf'n zweiten, einss euf'n zweiten, un a barg eis is in miten wasser stehn gebliben, doss wasser hot mit drch rz gemust far sei ontreten.
396.wav|nor bald hoben di chwaliess wasser, wi sei wolten sich ein hand gemacht, genumen sich euf a mol arein in barg un ihm zuschmetert, chrub gemacht, un.doss wasser hot sei in der welt gefihrt, heida.|nor bald hoben di chwaliess wasser, wi sei wolten sich ein hand gemacht, genumen sich euf a mol arein in barg un ihm zuschmetert, chrub gemacht, un.doss wasser hot sei in der welt gefihrt, heida.
397.wav|swo asch, ch di peuerim flihen fsn ein stik eis arifz zweiten.|swo asch, ch di peuerim flihen fsn ein stik eis arifz zweiten.
398.wav|derweil hot di nacht sch oeerukt.|derweil hot di nacht sch oeerukt.
399.wav|fun euben is der himel na chschre gefreuren geworen, nor doss wasser hot sich susiter doss seinige getun, un di peuedm hoben euch doss seiedig getun scheitlech holz in ssmole eingemnkt un ongezuten, un di nacht hoen sei beleuchten ; r elsster un mss sm di merim ein balke noch er zweiter euf'n teg arssgekdogen, un doss wasser hot gerischt, geschen sich un idoss holz geschlept zu sich.|fun euben is der himel na chschre gefreuren geworen, nor doss wasser hot sich susiter doss seinige getun, un di peuedm hoben euch doss seiedig getun scheitlech holz in ssmole eingemnkt un ongezuten, un di nacht hoen sei beleuchten ; r elsster un mss sm di merim ein balke noch er zweiter euf'n teg arssgekdogen, un doss wasser hot gerischt, geschen sich un idoss holz geschlept zu sich.
400.wav|dernoch, as mehr wi a helft h is schrn arsch's brsch gelegen, hot r' ichskl sein fuhr geschikt in stertil dein noch brarfen, alein is er zu r' cheitschn is stiel arin.|dernoch, as mehr wi a helft h is schrn arsch's brsch gelegen, hot r' ichskl sein fuhr geschikt in stertil dein noch brarfen, alein is er zu r' cheitschn is stiel arin.
401.wav|beim misch hot er getrofen a iuen is a langen futer mit a langer, schwarzer bord.|beim misch hot er getrofen a iuen is a langen futer mit a langer, schwarzer bord.
402.wav|er s gesessen halb awekgelegr euf a stuhl un geschmuesst mit a bchr'l fr a iohr fufzehn mit a chn'ewdik pnim'l, woss sogt mehr euss fun foter'ss ngidschkeit wi fun foter alein.|er s gesessen halb awekgelegr euf a stuhl un geschmuesst mit a bchr'l fr a iohr fufzehn mit a chn'ewdik pnim'l, woss sogt mehr euss fun foter'ss ngidschkeit wi fun foter alein.
403.wav|er is gewen in a ssameten hitele mit puss'lech un mit a seiden hals-tichel.|er is gewen in a ssameten hitele mit puss'lech un mit a seiden hals-tichel.
404.wav|a ngid'ischer chn un duhinkeit is gewen in sein takt, in sein mine.|a ngid'ischer chn un duhinkeit is gewen in sein takt, in sein mine.
405.wav|r' ichskl's is er bld gefelen.|r' ichskl's is er bld gefelen.
406.wav|er is zugegangen un di hent eussner strekt|er is zugegangen un di hent eussner strekt
407.wav|schlum elichm, iuden.|schlum elichm, iuden.
408.wav|elichm schlum.|elichm schlum.
409.wav|hige?|hige?
410.wav|hot wer fun sei gefegt, oder beide ineinem|hot wer fun sei gefegt, oder beide ineinem
411.wav|ich bin a konsskeiwolier, men darf iber'n wasser entfert der iud mit der schwarzer bord.|ich bin a konsskeiwolier, men darf iber'n wasser entfert der iud mit der schwarzer bord.
412.wav|ich bin a kosmerer, tratwess in der weichssel stehen entfert r' ichskl.|ich bin a kosmerer, tratwess in der weichssel stehen entfert r' ichskl.
413.wav|wer?|wer?
414.wav|r' ichskl gombiner fun kosmer, fschr?|r' ichskl gombiner fun kosmer, fschr?
415.wav|io.|io.
416.wav|un ihr, wer seint ihr doss fun konsske-we?|un ihr, wer seint ihr doss fun konsske-we?
417.wav|o wa, r' ichskl gombined, freht sich iener un heubt sich euf fun stuhl ich bin mrdchi konssker.|o wa, r' ichskl gombined, freht sich iener un heubt sich euf fun stuhl ich bin mrdchi konssker.
418.wav|r' mrdchi konssker fun konsske-uolie undert sich d' ichskl.|r' mrdchi konssker fun konsske-uolie undert sich d' ichskl.
419.wav|nu, er geht zu nehnter zu schm un stekt sm di hand euss nu, nu.|nu, er geht zu nehnter zu schm un stekt sm di hand euss nu, nu.
420.wav|di tratwess seinen noch eingefdren k eis?|di tratwess seinen noch eingefdren k eis?
421.wav|io, di tratwess seinen gewen eingefreuren iber'n u ter.|io, di tratwess seinen gewen eingefreuren iber'n u ter.
422.wav|men hot gor nischt gekent ma.|men hot gor nischt gekent ma.
423.wav|dei seinen mit —i gewen bedekt.|dei seinen mit —i gewen bedekt.
424.wav|izt, geleubt zu got derfar, mschel msch m kenen.|izt, geleubt zu got derfar, mschel msch m kenen.
425.wav|a schehn gescheft!|a schehn gescheft!
426.wav|got sol schumr l dk in himel!|got sol schumr l dk in himel!
427.wav|a helft is scheun in dreussen mss hot'ss hilf!|a helft is scheun in dreussen mss hot'ss hilf!
428.wav|d mim airbeiten nischt schlecht.|d mim airbeiten nischt schlecht.
429.wav|a minst seinen sei beide stil gebliben, stehendik onge- lehnt beim tisch un hoben geklehrt a rge.|a minst seinen sei beide stil gebliben, stehendik onge- lehnt beim tisch un hoben geklehrt a rge.
430.wav|k der stumn is stil gewen, fun dreussen hot sich gehert doss gereusch me n usser, ri ess rint euf di stiker eis mit a stilen ernssss gebeiser.|k der stumn is stil gewen, fun dreussen hot sich gehert doss gereusch me n usser, ri ess rint euf di stiker eis mit a stilen ernssss gebeiser.
431.wav|fun der weiten hot sich obgeschlogen a mng euss zeugen kul, woss ess hot sich gedacht, as ess geht fch a pusstefass ; di arbeiteeu hoben einer dem zweiten epess zu wissen' gegeben, un doss kul hot sich mit'n wasser-gereusch schsamennd mischt, un wi fun iener seit welt obgeschlogen.|fun der weiten hot sich obgeschlogen a mng euss zeugen kul, woss ess hot sich gedacht, as ess geht fch a pusstefass ; di arbeiteeu hoben einer dem zweiten epess zu wissen' gegeben, un doss kul hot sich mit'n wasser-gereusch schsamennd mischt, un wi fun iener seit welt obgeschlogen.
432.wav|r' ichskl hot sich ruhig anidergestelt in a wekel e hot ongeheuben merib dawnen.|r' ichskl hot sich ruhig anidergestelt in a wekel e hot ongeheuben merib dawnen.
