ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-819|אױף די הערצער טראָגען זײ אַלע „האַרץ-ברעטלעך", דאָס איז אַ לאַנג פיערקאַנטיג שטיק סאַמעט, אױף װעלבען עס זײנען אױפגעהאַנגען װי אױף אַ שילד די מתנות, װאָס דאָס װײבעל האָט בעקומען װען זי איז אַ כלה געװען.|אױף די הערצער טראָגען זײ אַלע „האַרץ-ברעטלעך", דאָס איז אַ לאַנג פיערקאַנטיג שטיק סאַמעט, אױף װעלבען עס זײנען אױפגעהאַנגען װי אױף אַ שילד די מתנות, װאָס דאָס װײבעל האָט בעקומען װען זי איז אַ כלה געװען.
ashtetl-820|איטע די שנור, גאָלדעלע די טאָכטער זײנען געזעסען אײנע אַנטקעגען די צװײטע און בײדע זײנען זײ געװען שטיל (װאָרום זײ זײנען ברוגז צװישען זיך, הײנט איז דער רעכענונג...), און אַז אײנע האָט זיך פון איהר אָרט אױפגעהױבען, האָט די צװײטע|איטע די שנור, גאָלדעלע די טאָכטער זײנען געזעסען אײנע אַנטקעגען די צװײטע און בײדע זײנען זײ געװען שטיל (װאָרום זײ זײנען ברוגז צװישען זיך, הײנט איז דער רעכענונג...), און אַז אײנע האָט זיך פון איהר אָרט אױפגעהױבען, האָט די צװײטע
ashtetl-821|עפּעס מאָדנע די ליפּען פערקרימט, די אױגען צום באַלקען פערגלײסט און לײכט אָבגעזיפצט.|עפּעס מאָדנע די ליפּען פערקרימט, די אױגען צום באַלקען פערגלײסט און לײכט אָבגעזיפצט.
ashtetl-822|דאָס איז געװען אַ מין ברוגז-מינע.|דאָס איז געװען אַ מין ברוגז-מינע.
ashtetl-823|זײ האָבען געשפּיעלט.|זײ האָבען געשפּיעלט.
ashtetl-824|און דער אָנפיהרער פון שפּיעל איז געװען אַ יודעל „אַ דײטשעל", „אַן אײנגעהער" און אַן „אַרױסגעהער" בײ מלכה'לען, װי אין אַנדערע הײזער.|און דער אָנפיהרער פון שפּיעל איז געװען אַ יודעל „אַ דײטשעל", „אַן אײנגעהער" און אַן „אַרױסגעהער" בײ מלכה'לען, װי אין אַנדערע הײזער.
ashtetl-825|גערופען האָט מען איהם אױך : „דאָס װײבערש יודעל".|גערופען האָט מען איהם אױך : „דאָס װײבערש יודעל".
ashtetl-826|שױן דענסטמאָל האָט ער געטראָגען „דײטשמעריש" אַ קורץ רעקעל און אזא מין זיעבען קאַנטיג היטעל מיט אַ בּלאַנצענדיגען דאַשעק.|שױן דענסטמאָל האָט ער געטראָגען „דײטשמעריש" אַ קורץ רעקעל און אזא מין זיעבען קאַנטיג היטעל מיט אַ בּלאַנצענדיגען דאַשעק.
ashtetl-827|געטראָגען האָט ער „דײטשמעריש" נישט אַזױ לשם דײטש, נאָר װי איבער „גלאַט אַזױ", װײל עס פּאַסט פאַר אַזאַ מין װײבערש יודעל צו טראָגען „דײטש".|געטראָגען האָט ער „דײטשמעריש" נישט אַזױ לשם דײטש, נאָר װי איבער „גלאַט אַזױ", װײל עס פּאַסט פאַר אַזאַ מין װײבערש יודעל צו טראָגען „דײטש".
ashtetl-828|געװוּסט האָט ער צו יעדער קרײנק אַזאַ מין רפואה, װאָס ער פלעגט עס אָנרופען „קאָרפּוס דליקטו".|געװוּסט האָט ער צו יעדער קרײנק אַזאַ מין רפואה, װאָס ער פלעגט עס אָנרופען „קאָרפּוס דליקטו".
ashtetl-829|מיט די דײטשען רעדט ער פּױליש, און שרײבט „פּראָשעניעס" אױך אױף פּױליש, דערפאַר פלעגט מען איהם אין שטעדטעל דופען „אכער-.|מיט די דײטשען רעדט ער פּױליש, און שרײבט „פּראָשעניעס" אױך אױף פּױליש, דערפאַר פלעגט מען איהם אין שטעדטעל דופען „אכער-.
ashtetl-830|איז'ן איז עס אַזאַ מין יודעל, װאָס אומעטום קומט עס, אומעטום איז עס הײמיש, װאָס אַלעמען זאָגט ער „דו" און װאָס אַלע זאָגען איהם „דו".|איז'ן איז עס אַזאַ מין יודעל, װאָס אומעטום קומט עס, אומעטום איז עס הײמיש, װאָס אַלעמען זאָגט ער „דו" און װאָס אַלע זאָגען איהם „דו".
ashtetl-831|צום שהרסטען פלעגט עס זיך חבר'ן מיט װײבער, און עפּעס אַזױ װי איהם װאָלט מען מתיר געװען, פערברענגט ער צװישן זײ פראַנק און פרײ.|צום שהרסטען פלעגט עס זיך חבר'ן מיט װײבער, און עפּעס אַזױ װי איהם װאָלט מען מתיר געװען, פערברענגט ער צװישן זײ פראַנק און פרײ.
ashtetl-832|ער װײסט פון זײערע סודות, און עס מאַכט גאָר נישט אױס — „אַ האַלבע יודענע", אַלעמען פלעגט ער אײננעהמען מיט זײנע גלײכע וערטלעך.|ער װײסט פון זײערע סודות, און עס מאַכט גאָר נישט אױס — „אַ האַלבע יודענע", אַלעמען פלעגט ער אײננעהמען מיט זײנע גלײכע וערטלעך.
ashtetl-833|ער האָט גערעדט, האָט מע געלאַכט, כאָטש עס איז מעהר נאַרישער געװען װי לאַכעדיגעס.|ער האָט גערעדט, האָט מע געלאַכט, כאָטש עס איז מעהר נאַרישער געװען װי לאַכעדיגעס.
ashtetl-834|ער פלעגט זיך דעם קאָלנער פון פּאַלטאָ אַװעקשטעלען, דאָס היטעל זיך פערדרעהען, מאַכען זיך דעמלען און דאָס בערדעל פלעגט זיך שאָקש — איז גענוג געװען, אַז עס זאָל ברײנגען צום געלעכטער.|ער פלעגט זיך דעם קאָלנער פון פּאַלטאָ אַװעקשטעלען, דאָס היטעל זיך פערדרעהען, מאַכען זיך דעמלען און דאָס בערדעל פלעגט זיך שאָקש — איז גענוג געװען, אַז עס זאָל ברײנגען צום געלעכטער.
ashtetl-835|הײנט, שבת-צו-נאַכטס פון גרױסען יאָהר-רעכענונג, איז איהם אי געקומען, אַז ער זאָל זיך געפינען בײ ר' יחזקאל'ן.|הײנט, שבת-צו-נאַכטס פון גרױסען יאָהר-רעכענונג, איז איהם אי געקומען, אַז ער זאָל זיך געפינען בײ ר' יחזקאל'ן.
ashtetl-836|פון קיך מדאָגט זיך אַ ריח פון געפּרעגעלטע שמאַלץ, און געװוּסט האָט ער, אַז נאָך דעם רעכענונג װעט זײן די גרױסע „מלוה מלכה", װי עס איז שױן דער מנהג בײ ר' יחזקאל'ן פון קדמונים אָן.|פון קיך מדאָגט זיך אַ ריח פון געפּרעגעלטע שמאַלץ, און געװוּסט האָט ער, אַז נאָך דעם רעכענונג װעט זײן די גרױסע „מלוה מלכה", װי עס איז שױן דער מנהג בײ ר' יחזקאל'ן פון קדמונים אָן.
ashtetl-837|בײ אַ װינקעלע טיש איז געזעסען לאה'לע, דאָס כלה-מײדל.|בײ אַ װינקעלע טיש איז געזעסען לאה'לע, דאָס כלה-מײדל.
ashtetl-838|פון די פרישע גערײטעלטע באַקען האָט דאָס יונגע בלוט אַרױסגער קושט זיך...|פון די פרישע גערײטעלטע באַקען האָט דאָס יונגע בלוט אַרױסגער קושט זיך...
ashtetl-839|אַזױ װי דאָס בלוט פון אַ רױז, װאָס רײטעלט זיך אױף עם סאַמעטבלעטעל, װען די זון גליהט דאַרױף.|אַזױ װי דאָס בלוט פון אַ רױז, װאָס רײטעלט זיך אױף עם סאַמעטבלעטעל, װען די זון גליהט דאַרױף.
ashtetl-840|די אױגען שטילע.|די אױגען שטילע.
ashtetl-841|דױג זײנען זײ ,פאַר זיך" געװען וזײנגעפאַסט אין דעם ברײטען גרױסען אױגען-לאָך, און דאָס דיניטשקע ציטערענדיגע הײטעל האָט געהיט דאָס אױג.|דױג זײנען זײ ,פאַר זיך" געװען וזײנגעפאַסט אין דעם ברײטען גרױסען אױגען-לאָך, און דאָס דיניטשקע ציטערענדיגע הײטעל האָט געהיט דאָס אױג.
ashtetl-842|דער „אױבער-שוטר", די שװאַרצע ברעם, װאָס הענגט אױף דעם ראַנד פון דעם גרױסען װײסען שטערן, װאָס זעהט אױס װי אַ מענשען-קרױן פון גאָט געשענקט, האָט זיך אין דער שטיל דעם אױג צוגעקוקט און אַלעס דעם אױג נאָכגעמאַכט...|דער „אױבער-שוטר", די שװאַרצע ברעם, װאָס הענגט אױף דעם ראַנד פון דעם גרױסען װײסען שטערן, װאָס זעהט אױס װי אַ מענשען-קרױן פון גאָט געשענקט, האָט זיך אין דער שטיל דעם אױג צוגעקוקט און אַלעס דעם אױג נאָכגעמאַכט...
ashtetl-843|די האָר אין צװײ צעפּ פערפלאָכטען, חנ'עװדיק און מײדעל-ציטערנדיק האָבען זײ זיך איבער איהרע אײדעלע ציטערנדיגע אַקסעל אַראָבגעלאָזט.|די האָר אין צװײ צעפּ פערפלאָכטען, חנ'עװדיק און מײדעל-ציטערנדיק האָבען זײ זיך איבער איהרע אײדעלע ציטערנדיגע אַקסעל אַראָבגעלאָזט.
ashtetl-844|זי איז געזעסען פאַר זיך, און אַ כלה-חן האָט בון איהר געזיכט אַראָבגעלױכטען צנועה'דיג און שטיל-שװײגענדי יעדעס מאָל, װען עס האָט זיך געהערט דעם דײטשעל'ס קול, האָט איהר האַרץ לײכט אױפגעציטערט, און די יונגע ברוסט האָט דענסמאָל לײכט זיך בעװעגט.|זי איז געזעסען פאַר זיך, און אַ כלה-חן האָט בון איהר געזיכט אַראָבגעלױכטען צנועה'דיג און שטיל-שװײגענדי יעדעס מאָל, װען עס האָט זיך געהערט דעם דײטשעל'ס קול, האָט איהר האַרץ לײכט אױפגעציטערט, און די יונגע ברוסט האָט דענסמאָל לײכט זיך בעװעגט.
ashtetl-845|זי האָט מורא געהאַט, אַז דאָס דײטשעל זאָל זי גישט טשעפּען, נאָר באַלד איז אױף איהר אױך די צײט געקומען.|זי האָט מורא געהאַט, אַז דאָס דײטשעל זאָל זי גישט טשעפּען, נאָר באַלד איז אױף איהר אױך די צײט געקומען.
ashtetl-846|— װײסט, דער שדכן זיצט דערינען מיט'ן טאַטען און שמועסען װעגען אַ שדוך.|— װײסט, דער שדכן זיצט דערינען מיט'ן טאַטען און שמועסען װעגען אַ שדוך.
ashtetl-847|זי האָט דעם קאָפּ אַראָבגעבױגען און איהם פון זיך מיט איהרע לײכטע װײסע הענד אָבגעשטופּט.|זי האָט דעם קאָפּ אַראָבגעבױגען און איהם פון זיך מיט איהרע לײכטע װײסע הענד אָבגעשטופּט.
ashtetl-848|— אַזױ װי עס קען אױף דער לבנה ראש-חודש רעטעכלעך װאַקסען, אַזױ װעסט דו דעם חתן קריגען.|— אַזױ װי עס קען אױף דער לבנה ראש-חודש רעטעכלעך װאַקסען, אַזױ װעסט דו דעם חתן קריגען.
ashtetl-849|אין שטוב האָט געקלונגען אַ געלעכטער.|אין שטוב האָט געקלונגען אַ געלעכטער.
ashtetl-850|לאה'לע האָט זיך פלינק פון טיש אױפגעכאַפּט און איז עד חרמ פערשװוּנדען געװאָרען.|לאה'לע האָט זיך פלינק פון טיש אױפגעכאַפּט און איז עד חרמ פערשװוּנדען געװאָרען.
ashtetl-851|אױף די װענד פון דער גרױסער, לאַנגער קיך האָט דאָס קופּער אַראָבגעפונקעלט.|אױף די װענד פון דער גרױסער, לאַנגער קיך האָט דאָס קופּער אַראָבגעפונקעלט.
ashtetl-852|און אײן ראָנדעל האָט אריבערגעװינקט צום צװײטען, װאָס איז געהאַנגען געגען איהם אױף דער צװײטער װאַנד.|און אײן ראָנדעל האָט אריבערגעװינקט צום צװײטען, װאָס איז געהאַנגען געגען איהם אױף דער צװײטער װאַנד.
ashtetl-853|די דיקע בײכיגע בעקענס, די קופּערנע אױסגעצױגענע בראָטפאַנען, די הױכע קריגען מיט פערשיעדענע שנױצען האָבען בעל-הבית'יש פון די װענד אראָבגעהאַנגען, פערשפּרײט ארום זיך א הײמישקײט און דערצעהלט פון גוטע געװעזענע צײטען...|די דיקע בײכיגע בעקענס, די קופּערנע אױסגעצױגענע בראָטפאַנען, די הױכע קריגען מיט פערשיעדענע שנױצען האָבען בעל-הבית'יש פון די װענד אראָבגעהאַנגען, פערשפּרײט ארום זיך א הײמישקײט און דערצעהלט פון גוטע געװעזענע צײטען...
ashtetl-854|אין אײװען פלאַקערט עס, און טיעפע ברײט-בײניגע קופּערנע טעפּ שטעהען און קאָכען און קאָכען, ן ד'ער פרישער, פעטער גריװען-גערוך לעגט זיך איבער דער קיך און|אין אײװען פלאַקערט עס, און טיעפע ברײט-בײניגע קופּערנע טעפּ שטעהען און קאָכען און קאָכען, ן ד'ער פרישער, פעטער גריװען-גערוך לעגט זיך איבער דער קיך און
ashtetl-855|דערצעהלט עפּעס פון הײמישע זאכען....|דערצעהלט עפּעס פון הײמישע זאכען....
ashtetl-856|אױף דעם לאַנגען פלײשיגען טיש, װעלכער איז מיט אַ לאַנגען קופּערנעם בלעך בעקלאַפּט, שטעהען אָנגעשטעלט טיעפע בעקען, קלײנע און גרױסע, גרײט דאָס שמאַלץ אין זיך ארײנצונעהמען.|אױף דעם לאַנגען פלײשיגען טיש, װעלכער איז מיט אַ לאַנגען קופּערנעם בלעך בעקלאַפּט, שטעהען אָנגעשטעלט טיעפע בעקען, קלײנע און גרױסע, גרײט דאָס שמאַלץ אין זיך ארײנצונעהמען.
ashtetl-857|בײ דער קיך אין א װינקעלע זיצט רחל לאה, די אײנגעהערין.|בײ דער קיך אין א װינקעלע זיצט רחל לאה, די אײנגעהערין.
ashtetl-858|אַ הױכע, אַלטע יודענע מיט װערצעלעך אױף דער גאָמבע, און צװײ-דרײ לאַנגע האָר ציהען זיך פון די װערצעלעך ארױס.|אַ הױכע, אַלטע יודענע מיט װערצעלעך אױף דער גאָמבע, און צװײ-דרײ לאַנגע האָר ציהען זיך פון די װערצעלעך ארױס.
ashtetl-859|די אַלטע, גרױע קאַץ ליגט אין איהר שױס און לעקט איהר די אײנגערארטע בײנערדיגע הענד.|די אַלטע, גרױע קאַץ ליגט אין איהר שױס און לעקט איהר די אײנגערארטע בײנערדיגע הענד.
ashtetl-860|דום איהר שטעהען מלכה'לעס אײניקלעך, יונגלעך מיט מײעלעך, טײל אין הײזלעך, טײל אין קלײדלעך, טײל אין שירצלעך, מיל אין ציצה-כנפות'לעבּ און האָרכען אױס װאָס די באָבע דער צערלט אַ מעשה מיט א „פײערדיגען הענטעל בײם שמאַלץ פּרעגלען."|דום איהר שטעהען מלכה'לעס אײניקלעך, יונגלעך מיט מײעלעך, טײל אין הײזלעך, טײל אין קלײדלעך, טײל אין שירצלעך, מיל אין ציצה-כנפות'לעבּ און האָרכען אױס װאָס די באָבע דער צערלט אַ מעשה מיט א „פײערדיגען הענטעל בײם שמאַלץ פּרעגלען."
ashtetl-861|„אַמאָל שױן לאַנג, דערצעהלט זי, האָט אַ יודענע שמאַלץ אין אַ פײערקע געפּרעגעלט, האָט זי דעם טאָפּ פון פײערקע ארױסגענומען, זעהט זי עס שטעקט פון פײער א פײערדיק הענטעל ארױס, און עס הערט זיך א שטים : „גוטע פרױ, גוטע פרױ, גיב מיר א פּאָר גריװען, װעט קײן עין הרע אין שמאַלץ נישט ארײנקומען".|„אַמאָל שױן לאַנג, דערצעהלט זי, האָט אַ יודענע שמאַלץ אין אַ פײערקע געפּרעגעלט, האָט זי דעם טאָפּ פון פײערקע ארױסגענומען, זעהט זי עס שטעקט פון פײער א פײערדיק הענטעל ארױס, און עס הערט זיך א שטים : „גוטע פרױ, גוטע פרױ, גיב מיר א פּאָר גריװען, װעט קײן עין הרע אין שמאַלץ נישט ארײנקומען".
ashtetl-862|האָט זי טאַקע אַזױ געטון.|האָט זי טאַקע אַזױ געטון.
ashtetl-863|האָט זי אָנגעהױבען גיסען שמאַלץ.|האָט זי אָנגעהױבען גיסען שמאַלץ.
ashtetl-864|גיסט אײן טאָפּ, גיסט צװײ, גיסט דרײ, גיסט זעקס, גיסט אַכט, גיסט צעהן, ביז זו האָט שױן מעהר קײן טעפּ נישט געהאַט — האָט עס אױפגעהערט.|גיסט אײן טאָפּ, גיסט צװײ, גיסט דרײ, גיסט זעקס, גיסט אַכט, גיסט צעהן, ביז זו האָט שױן מעהר קײן טעפּ נישט געהאַט — האָט עס אױפגעהערט.
ashtetl-865|די קינדער האָרכען אױס און װארטען מיט שרעק ביז מען װעט דעם טאָפּ פון די פײערקע ארױסנעהמען, און זײ זאָלען שױן זוכה זײן צו זעהען דאָס פײערדיגע הענטעל.|די קינדער האָרכען אױס און װארטען מיט שרעק ביז מען װעט דעם טאָפּ פון די פײערקע ארױסנעהמען, און זײ זאָלען שױן זוכה זײן צו זעהען דאָס פײערדיגע הענטעל.
ashtetl-866|דערװײל שלאָפט רחל-לאה אײז, און די אַלטע הױב (אַ גלגול פון מכה'לעס די בעל-הבית'טעס הױב) מיט די אלטע, ברײטע בענדער לאָזען זיך איהר איבער'ן אַלען, אײננעקנײטשטען שטערן.|דערװײל שלאָפט רחל-לאה אײז, און די אַלטע הױב (אַ גלגול פון מכה'לעס די בעל-הבית'טעס הױב) מיט די אלטע, ברײטע בענדער לאָזען זיך איהר איבער'ן אַלען, אײננעקנײטשטען שטערן.
ashtetl-867|דענסטמאָל נעמט א יונגעל און שטעקט דאָס הענטעל אױס און גיט א צופּ די אַלטע באָבע בײ די האַר פון װאָרצעל.|דענסטמאָל נעמט א יונגעל און שטעקט דאָס הענטעל אױס און גיט א צופּ די אַלטע באָבע בײ די האַר פון װאָרצעל.
ashtetl-868|— האָב, האָב, האָב, — אכען די אלטע, אײנגעשרומפּענע אױסגעדאַרטע ליפּען, און פּרובען כאפּען עם קינד'ס פינגעריל אין דעם אָהנצײנערדיגען מױל ארײן.|— האָב, האָב, האָב, — אכען די אלטע, אײנגעשרומפּענע אױסגעדאַרטע ליפּען, און פּרובען כאפּען עם קינד'ס פינגעריל אין דעם אָהנצײנערדיגען מױל ארײן.
ashtetl-869|— באָבעשי, פאר װאָס װאקסען אײך די האָר אױף די װאָרצעלעך?|— באָבעשי, פאר װאָס װאקסען אײך די האָר אױף די װאָרצעלעך?
ashtetl-870|— פרעגען די קינדערלעך.|— פרעגען די קינדערלעך.
ashtetl-871|— לך מאַך מל אַלײן הבדלה, און טרינק פון הבדלדוריז, — ערט ד אלטע מט האַלב-פערשלאָסענע אױגען און מיט ען אַש פעשט געלעכטעריל שיף די אַמע פערקרימטע ליפּען.|— לך מאַך מל אַלײן הבדלה, און טרינק פון הבדלדוריז, — ערט ד אלטע מט האַלב-פערשלאָסענע אױגען און מיט ען אַש פעשט געלעכטעריל שיף די אַמע פערקרימטע ליפּען.
ashtetl-872|אַרן עע די אלטע מאכט זיך נאַריש מיט די קינדער, איז חאער קעלע, דאָס עלטסטע אײניקעל, אַ יונגעל פון א יאָר 10, מאַרק פער נומען מיט אַ דרידעל גיסען.|אַרן עע די אלטע מאכט זיך נאַריש מיט די קינדער, איז חאער קעלע, דאָס עלטסטע אײניקעל, אַ יונגעל פון א יאָר 10, מאַרק פער נומען מיט אַ דרידעל גיסען.
ashtetl-873|אין דער קיך האָט ער אַן אײנעבױגענע לעעל טט צין אײנגעשטעלט, און איצט פּאט ער די פאָרם אין א ען זאד אײז.|אין דער קיך האָט ער אַן אײנעבױגענע לעעל טט צין אײנגעשטעלט, און איצט פּאט ער די פאָרם אין א ען זאד אײז.
ashtetl-874|און דאָרט בײם אַנדער װינקעל קיך, װש מן יום-טוב'דינען, זיצט יענטע דאָס דיענסט-מײדעל, בײ אַ גריסען עמער מיט װאסער און שילט ד קאַרטאָפלעס, װאָס ליען אין איהר שרס, און װאַרפט זײ אין אַן עמער ומסער ארײן, צו די גרױסע „מוה מלמ"...|און דאָרט בײם אַנדער װינקעל קיך, װש מן יום-טוב'דינען, זיצט יענטע דאָס דיענסט-מײדעל, בײ אַ גריסען עמער מיט װאסער און שילט ד קאַרטאָפלעס, װאָס ליען אין איהר שרס, און װאַרפט זײ אין אַן עמער ומסער ארײן, צו די גרױסע „מוה מלמ"...
ashtetl-875|נאָטע הינטער איהר צופּט זי בײ די למפּרענדעע האַנד : ענע, ואָס ושט זײן?|נאָטע הינטער איהר צופּט זי בײ די למפּרענדעע האַנד : ענע, ואָס ושט זײן?
ashtetl-876|— זאָלסט אזױ לעבען װי דו ועסט מיט מיד נה האָבען,|— זאָלסט אזױ לעבען װי דו ועסט מיט מיד נה האָבען,
ashtetl-877|ד מתנגד'ישער ע אן ער|ד מתנגד'ישער ע אן ער
ashtetl-878|הסיד'ישער רבי|הסיד'ישער רבי
ashtetl-879|עס איז געקומען ל"ג בעומר.|עס איז געקומען ל"ג בעומר.
ashtetl-880|און די גוטע מוטערערד, װאָס האָט מיט איהר חסד אױף זיך דער שטאָדט'ס הײזלעך געטראָגען און אלץ, װאָס געפינט זיך אין זײ און אױסער זײ, האָט זיך מיט גאָט'ס לײטזעליגקײט ערפרישט, בעקלײדט פון קאָפּ ביז די פיס מיט גרעזעלך, בלעטעלעך, גרינינקע קעפּעלעך האָבען זיך פון אונטער'ן געהילץ, טן אונטער שטײן און בײן ארױסגעריסען, געשפּראָצט, און מיט אַ לעבער, פרומער מינע האָט זיך דאָס גרעזעלע געשאָקעלט אַהין און אַער און גענאָגט זײן ביסעל בידנע חיונה פון דער מוטער-ערד.|און די גוטע מוטערערד, װאָס האָט מיט איהר חסד אױף זיך דער שטאָדט'ס הײזלעך געטראָגען און אלץ, װאָס געפינט זיך אין זײ און אױסער זײ, האָט זיך מיט גאָט'ס לײטזעליגקײט ערפרישט, בעקלײדט פון קאָפּ ביז די פיס מיט גרעזעלך, בלעטעלעך, גרינינקע קעפּעלעך האָבען זיך פון אונטער'ן געהילץ, טן אונטער שטײן און בײן ארױסגעריסען, געשפּראָצט, און מיט אַ לעבער, פרומער מינע האָט זיך דאָס גרעזעלע געשאָקעלט אַהין און אַער און גענאָגט זײן ביסעל בידנע חיונה פון דער מוטער-ערד.
ashtetl-881|און די מוטעערד האָט איהרע פולע בריסטען אױסגעשטעלט און אָנגעזױגען און אָעעקאָרמעט יעדעסאָפענע אָפענע מײלכעל, װאָס האָט נאָר בדעה געהאַט צו זױגען.|און די מוטעערד האָט איהרע פולע בריסטען אױסגעשטעלט און אָנגעזױגען און אָעעקאָרמעט יעדעסאָפענע אָפענע מײלכעל, װאָס האָט נאָר בדעה געהאַט צו זױגען.
ashtetl-882|אַלץ אַרום, טאַטע אין הימעל, האָט מקײם געװען דײן שליחות, געהאָרכט און געטון דאָס, װאָס דו האָסט זײ בעפױלען פון ששת ימי בראשית אָן : דאָס גרעזעלע איז געװאקסען, געצױגען זיך, װײל זײן מצוה איז צו װאַקסען, די פױגעלעך האָבען זיך זײער נעסט געמאכט איבער די פענסטערלעך פון דער אַלטער װײערשער שוהל און האָבען א גאַנצען טאָג אין דײן פרום בית-המדרש-געסעל, פון װאנען עס טוט זיך הערען דער הײליגער קול התורה, ארומגעשפּרונגען, ארומגעטאַנצט פון דעכיל צו דעכיל, אױפ'ן פענסטער פון אַלטען בית-המדרש אונטערגעשפּרונגען, אַ קדושה געכאַפּט, אַ שמיה רבא, אַ װאָרט תּורה אונטערגעכאַפּט, און אַװעקגעשפּרונגען, אױף דער ערד זיך געשטעלט מיט אַ קװיטש — אַ ברכה, און געכאפּט א קרישעלע בײגעל, זעמעל, פּוטער-ברױט, װאָס אַ חדר-יונגעלע האָט דעריבער א ברכה געהאַט געמאַכט, און איז דערטש|אַלץ אַרום, טאַטע אין הימעל, האָט מקײם געװען דײן שליחות, געהאָרכט און געטון דאָס, װאָס דו האָסט זײ בעפױלען פון ששת ימי בראשית אָן : דאָס גרעזעלע איז געװאקסען, געצױגען זיך, װײל זײן מצוה איז צו װאַקסען, די פױגעלעך האָבען זיך זײער נעסט געמאכט איבער די פענסטערלעך פון דער אַלטער װײערשער שוהל און האָבען א גאַנצען טאָג אין דײן פרום בית-המדרש-געסעל, פון װאנען עס טוט זיך הערען דער הײליגער קול התורה, ארומגעשפּרונגען, ארומגעטאַנצט פון דעכיל צו דעכיל, אױפ'ן פענסטער פון אַלטען בית-המדרש אונטערגעשפּרונגען, אַ קדושה געכאַפּט, אַ שמיה רבא, אַ װאָרט תּורה אונטערגעכאַפּט, און אַװעקגעשפּרונגען, אױף דער ערד זיך געשטעלט מיט אַ קװיטש — אַ ברכה, און געכאפּט א קרישעלע בײגעל, זעמעל, פּוטער-ברױט, װאָס אַ חדר-יונגעלע האָט דעריבער א ברכה געהאַט געמאַכט, און איז דערטש
ashtetl-883|אַװעק-געפלױגען און מיט דעם זײערע נשמות, װאָס זײנען געװאָרען פערװאָגעלט אין פױגעלעך, מתקן געװען.|אַװעק-געפלױגען און מיט דעם זײערע נשמות, װאָס זײנען געװאָרען פערװאָגעלט אין פױגעלעך, מתקן געװען.
ashtetl-884|און דײנע הימלען אין דער הױך האָבען זיך אױסגעצױגען, אײנער אין דעם צװײטען ארײנגעפלאָסען, און גאנץ װײט און ברײט אין פרעטדע לענדער ארײן האָבען זײ זיך פערבלאָנדזשעט און בעשיצט דײן קלײן װעלטעל, אַזױ װי דו האָסט זײ אָנגעזאָגט פון אָנהױב אָן.|און דײנע הימלען אין דער הױך האָבען זיך אױסגעצױגען, אײנער אין דעם צװײטען ארײנגעפלאָסען, און גאנץ װײט און ברײט אין פרעטדע לענדער ארײן האָבען זײ זיך פערבלאָנדזשעט און בעשיצט דײן קלײן װעלטעל, אַזױ װי דו האָסט זײ אָנגעזאָגט פון אָנהױב אָן.
ashtetl-885|און דאָס װאַסער הינטער'ן שטעדטעל האָט זיך װי א שטיל געבעט, — מיט װעלבען ער װאָלט דיך דאַנקען געװאָלט, טאַטע אײנציגער, פאר אלץ, — געגאָסען כװאַליע אױס, כװאַליע אײן, פון פרעמדע לענער אין פרעמדע לענדער.|און דאָס װאַסער הינטער'ן שטעדטעל האָט זיך װי א שטיל געבעט, — מיט װעלבען ער װאָלט דיך דאַנקען געװאָלט, טאַטע אײנציגער, פאר אלץ, — געגאָסען כװאַליע אױס, כװאַליע אײן, פון פרעמדע לענער אין פרעמדע לענדער.
ashtetl-886|דורכרײזענדיק, האָט עס א שטילע, לאַנגע געשיכטע דער צעהלט אױף אַ װאַסער-שפּראך.|דורכרײזענדיק, האָט עס א שטילע, לאַנגע געשיכטע דער צעהלט אױף אַ װאַסער-שפּראך.
ashtetl-887|און פון װאסער זײנען אױפגעגאַנען בעהאַלטענע טױ-װאָלקען און האָבען בעהױכט דײנע פעלדער, והאָס האַר בען זיך אין דער לענג און אין דער ברײט אױסגעשפּרײט.|און פון װאסער זײנען אױפגעגאַנען בעהאַלטענע טױ-װאָלקען און האָבען בעהױכט דײנע פעלדער, והאָס האַר בען זיך אין דער לענג און אין דער ברײט אױסגעשפּרײט.
ashtetl-888|די טױי װאָלקען זײנען געלעגען איבער די פעלדער גאנצע נעכט און זײ אָנגעטרונקען און בעפרישט.|די טױי װאָלקען זײנען געלעגען איבער די פעלדער גאנצע נעכט און זײ אָנגעטרונקען און בעפרישט.
ashtetl-889|און פון די פעלדער האָבען זיך געטראָגען בעהאַלטענע ריחות אין דער לופט ארום און פערפולט מיט לעבען, ער קװיקט און ערפרישט יעדעס דײן בעשעפעניש, װאָס זײ האָבען אױפ'ן װעג געטראָפען.|און פון די פעלדער האָבען זיך געטראָגען בעהאַלטענע ריחות אין דער לופט ארום און פערפולט מיט לעבען, ער קװיקט און ערפרישט יעדעס דײן בעשעפעניש, װאָס זײ האָבען אױפ'ן װעג געטראָפען.
ashtetl-890|ל"ג בעומר.|ל"ג בעומר.
